2025-11-01 16:09:22.320 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompression complete: 0 bytes in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:09:22.336 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing large.bin (3145728 bytes) into 3 chunks
2025-11-01 16:09:22.501 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 3145728 -> 3147521 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:09:22.501 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing large.dcz to large.decompressed.bin
2025-11-01 16:09:22.501 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing 3 chunks, original size: 3145728 bytes
2025-11-01 16:09:22.615 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompression complete: 3145728 bytes in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:09:22.625 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing test.txt (29 bytes) into 1 chunks
2025-11-01 16:09:22.626 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 29 -> 663 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:10:07.515 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing random.bin (10240 bytes) into 1 chunks
2025-11-01 16:10:07.525 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 10240 -> 10889 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:10:07.525 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing random.dcz to random.decompressed.bin
2025-11-01 16:10:07.525 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing 1 chunks, original size: 10240 bytes
2025-11-01 16:10:07.530 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompression complete: 10240 bytes in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:10:07.541 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing test.txt (1300 bytes) into 1 chunks
2025-11-01 16:10:07.543 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 1300 -> 1148 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:10:07.543 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing test.dcz to test.decompressed.txt
2025-11-01 16:10:07.544 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing 1 chunks, original size: 1300 bytes
2025-11-01 16:10:07.544 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompression complete: 1300 bytes in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:10:07.547 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing empty.txt (0 bytes) into 0 chunks
2025-11-01 16:10:07.547 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 0 -> 77 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:10:07.547 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing empty.dcz to empty.decompressed.txt
2025-11-01 16:10:07.548 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing 0 chunks, original size: 0 bytes
2025-11-01 16:10:07.548 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompression complete: 0 bytes in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:10:07.566 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing large.bin (3145728 bytes) into 3 chunks
2025-11-01 16:10:07.742 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 3145728 -> 3147521 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:10:07.743 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing large.dcz to large.decompressed.bin
2025-11-01 16:10:07.743 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing 3 chunks, original size: 3145728 bytes
2025-11-01 16:10:07.858 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompression complete: 3145728 bytes in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:10:07.867 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing test.txt (29 bytes) into 1 chunks
2025-11-01 16:10:07.868 [Test worker] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 29 -> 663 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:11:35.927 [JavaFX-Launcher] INFO  com.datacomp.ui.DataCompApp - Initializing DataComp application
2025-11-01 16:11:36.101 [JavaFX Application Thread] INFO  com.datacomp.ui.MainViewController - Initializing main view controller
2025-11-01 16:11:36.454 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:11:36.752 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 16:11:36.769 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 16:11:36.949 [JavaFX Application Thread] INFO  com.datacomp.ui.DataCompApp - Application stopping
2025-11-01 16:11:37.001 [JavaFX Application Thread] INFO  com.datacomp.ui.DataCompApp - Application started successfully
2025-11-01 16:11:39.262 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:11:39.275 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 16:11:39.288 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 16:11:47.036 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing input.tar.dcz to input.tar
2025-11-01 16:11:47.037 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing 2 chunks, original size: 61419520 bytes
2025-11-01 16:11:50.662 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompression complete: 61419520 bytes in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:12:02.715 [JavaFX Application Thread] INFO  com.datacomp.ui.DataCompApp - Application stopping
2025-11-01 16:16:32.184 [JavaFX-Launcher] INFO  com.datacomp.ui.DataCompApp - Initializing DataComp application
2025-11-01 16:16:32.369 [JavaFX Application Thread] INFO  com.datacomp.ui.MainViewController - Initializing main view controller
2025-11-01 16:16:32.933 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:16:33.605 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
